libbs2b0:amd64	3.1.0+dfsg-8+b1	amd64
libbsd0:amd64	0.12.2-2	amd64
libbz2-1.0:amd64	1.0.8-6	amd64
libbz2-dev:amd64	1.0.8-6	amd64
libc-bin	2.41-12	amd64
libc-dev-bin	2.41-12	amd64
libc6:amd64	2.41-12	amd64
libc6-dev:amd64	2.41-12	amd64
libcaca0:amd64	0.99.beta20-5	amd64
libcairo-gobject2:amd64	1.18.4-1+b1	amd64
libcairo-script-interpreter2:amd64	1.18.4-1+b1	amd64
libcairo2:amd64	1.18.4-1+b1	amd64
libcairo2-dev:amd64	1.18.4-1+b1	amd64
libcap-ng0:amd64	0.8.5-4+b1	amd64
libcap2:amd64	1:2.75-10+b1	amd64
libcap2-bin	1:2.75-10+b1	amd64
libcbor0.10:amd64	0.10.2-2	amd64
libcc1-0:amd64	14.2.0-19	amd64
libcdio-cdda2t64:amd64	10.2+2.0.2-1+b1	amd64
libcdio-paranoia2t64:amd64	10.2+2.0.2-1+b1	amd64
libcdio19t64:amd64	2.2.0-4	amd64
libchromaprint1:amd64	1.5.1-7	amd64
libcjson1:amd64	1.7.18-3.1+deb13u1	amd64
libcodec2-1.2:amd64	1.2.0-3	amd64
libcom-err2:amd64	1.47.2-3+b3	amd64
libcrypt-dev:amd64	1:4.4.38-1	amd64
libcrypt1:amd64	1:4.4.38-1	amd64
libctf-nobfd0:amd64	2.44-3	amd64
libctf0:amd64	2.44-3	amd64
libcurl3t64-gnutls:amd64	8.14.1-2+deb13u2	amd64
libcurl4-openssl-dev:amd64	8.14.1-2+deb13u2	amd64
libcurl4t64:amd64	8.14.1-2+deb13u2	amd64
libdatrie-dev:amd64	0.2.13-3+b1	amd64
libdatrie1:amd64	0.2.13-3+b1	amd64
libdav1d-dev:amd64	1.5.1-1	amd64
libdav1d7:amd64	1.5.1-1	amd64
libdb-dev:amd64	5.3.4	amd64
libdb5.3-dev	5.3.28+dfsg2-9	amd64
libdb5.3t64:amd64	5.3.28+dfsg2-9	amd64
libdbus-1-3:amd64	1.16.2-2	amd64
libdc1394-25:amd64	2.2.6-5	amd64
libde265-0:amd64	1.0.15-1+b3	amd64
libdebconfclient0:amd64	0.280	amd64
libdecor-0-0:amd64	0.2.2-2	amd64
libdeflate-dev:amd64	1.23-2	amd64
libdeflate0:amd64	1.23-2	amd64
libdjvulibre-dev:amd64	3.5.28-2.2	amd64
libdjvulibre-text	3.5.28-2.2	all
libdjvulibre21:amd64	3.5.28-2.2	amd64
libdpkg-perl	1.22.21	all
libdrm-amdgpu1:amd64	2.4.124-2	amd64
libdrm-common	2.4.124-2	all
libdrm-intel1:amd64	2.4.124-2	amd64
libdrm2:amd64	2.4.124-2	amd64
libdvdnav4:amd64	6.1.1-3+b1	amd64
libdvdread8t64:amd64	6.1.3-2	amd64
libedit2:amd64	3.1-20250104-1	amd64
libelf1t64:amd64	0.192-4	amd64
liberror-perl	0.17030-1	all
libevent-2.1-7t64:amd64	2.1.12-stable-10+b1	amd64
libevent-core-2.1-7t64:amd64	2.1.12-stable-10+b1	amd64
libevent-dev	2.1.12-stable-10+b1	amd64
libevent-extra-2.1-7t64:amd64	2.1.12-stable-10+b1	amd64
libevent-openssl-2.1-7t64:amd64	2.1.12-stable-10+b1	amd64
libevent-pthreads-2.1-7t64:amd64	2.1.12-stable-10+b1	amd64
libexif-dev:amd64	0.6.25-1	amd64
libexif12:amd64	0.6.25-1	amd64
libexpat1:amd64	2.7.1-2	amd64
libexpat1-dev:amd64	2.7.1-2	amd64
libffi-dev:amd64	3.4.8-2	amd64
libffi8:amd64	3.4.8-2	amd64
libfftw3-bin	3.3.10-2+b1	amd64
libfftw3-dev:amd64	3.3.10-2+b1	amd64
libfftw3-double3:amd64	3.3.10-2+b1	amd64
libfftw3-long3:amd64	3.3.10-2+b1	amd64
libfftw3-quad3:amd64	3.3.10-2+b1	amd64
libfftw3-single3:amd64	3.3.10-2+b1	amd64
libfido2-1:amd64	1.15.0-1+b1	amd64
libflac14:amd64	1.5.0+ds-2	amd64
libflite1:amd64	2.2-7	amd64
libfontconfig-dev:amd64	2.15.0-2.3	amd64
libfontconfig1:amd64	2.15.0-2.3	amd64
libfreetype-dev:amd64	2.13.3+dfsg-1	amd64
libfreetype6:amd64	2.13.3+dfsg-1	amd64
libfribidi-dev:amd64	1.0.16-1	amd64
libfribidi0:amd64	1.0.16-1	amd64
libfuse-dev:amd64	2.9.9-9	amd64
libfuse2t64:amd64	2.9.9-9	amd64
